,question,answer,document
40,Doce Veneno,https://globoplay.globo.com/doce-veneno/t/t5bHV8DFQc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
41,De Pernas Pro Ar 2,https://globoplay.globo.com/de-pernas-pro-ar-2/t/SxPZhP5dwT/,https://globoplay.globo.com/categorias/filmes-de-comedia/
42,Os Smurfs e a Vila Perdida,https://globoplay.globo.com/os-smurfs-e-a-vila-perdida/t/yx9YynBJSq/,https://globoplay.globo.com/categorias/filmes-de-comedia/
43,Duas De Mim,https://globoplay.globo.com/duas-de-mim/t/98BY7Xmrxc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
44,Você Não Pode Beijar A Noiva,https://globoplay.globo.com/voce-nao-pode-beijar-a-noiva/t/99mQKPqntn/,https://globoplay.globo.com/categorias/filmes-de-comedia/
45,Natal Para Sempre,https://globoplay.globo.com/natal-para-sempre/t/bYmmfHMHNv/,https://globoplay.globo.com/categorias/filmes-de-comedia/
46,Muita Calma Nessa Hora,https://globoplay.globo.com/muita-calma-nessa-hora/t/wNthVnXPqN/,https://globoplay.globo.com/categorias/filmes-de-comedia/
47,Joe e as Baratas,https://globoplay.globo.com/joe-e-as-baratas/t/SnGdWYQ2GN/,https://globoplay.globo.com/categorias/filmes-de-comedia/
48,Os Estagiários,https://globoplay.globo.com/os-estagiarios/t/9p7jH5GKzc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
49,Adotando Amor no Natal,https://globoplay.globo.com/adotando-amor-no-natal/t/K8tQqCfYdc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
50,Sr. & Sra. Smith,https://globoplay.globo.com/sr-sra-smith/t/6tpSjxvCnn/,https://globoplay.globo.com/categorias/filmes-de-comedia/
51,Debi & Lóide 2,https://globoplay.globo.com/debi-loide-2/t/TGP1BnzdbL/,https://globoplay.globo.com/categorias/filmes-de-comedia/
52,As Melhores Coisas Do Mundo,https://globoplay.globo.com/as-melhores-coisas-do-mundo/t/bSwFZrTKJ5/,https://globoplay.globo.com/categorias/filmes-de-comedia/
53,O Amor Dá Trabalho,https://globoplay.globo.com/o-amor-da-trabalho/t/GGtvXJfs2C/,https://globoplay.globo.com/categorias/filmes-de-comedia/
54,Vai Que Dá Certo 2,https://globoplay.globo.com/vai-que-da-certo-2/t/cGd7dzZpYF/,https://globoplay.globo.com/categorias/filmes-de-comedia/
55,Emoji: O Filme,https://globoplay.globo.com/emoji-o-filme/t/ZFLS7bS6zz/,https://globoplay.globo.com/categorias/filmes-de-comedia/
56,Lampião e Maria Bonita - O Filme,https://globoplay.globo.com/lampiao-e-maria-bonita-o-filme/t/FSfnPpGYGk/,https://globoplay.globo.com/categorias/filmes-de-comedia/
57,Alvin E Os Esquilos 3,https://globoplay.globo.com/alvin-e-os-esquilos-3/t/CPWHxRjjjp/,https://globoplay.globo.com/categorias/filmes-de-comedia/
58,Um Suburbano Sortudo,https://globoplay.globo.com/um-suburbano-sortudo/t/szbFcdd8BC/,https://globoplay.globo.com/categorias/filmes-de-comedia/
59,American Pie 2 - A Segunda Vez É Ainda Melhor,https://globoplay.globo.com/american-pie-2-a-segunda-vez-e-ainda-melhor/t/hV7HwdWxjV/,https://globoplay.globo.com/categorias/filmes-de-comedia/
60,Cartões de Natal,https://globoplay.globo.com/cartoes-de-natal/t/Snb15FzDb8/,https://globoplay.globo.com/categorias/filmes-de-comedia/
61,Confissões de Natal,https://globoplay.globo.com/confissoes-de-natal/t/np8XHs7ZCC/,https://globoplay.globo.com/categorias/filmes-de-comedia/
62,Amigas De Sorte,https://globoplay.globo.com/amigas-de-sorte/t/fJ2LFQcNNQ/,https://globoplay.globo.com/categorias/filmes-de-comedia/
63,Penetras Bons de Bico,https://globoplay.globo.com/penetras-bons-de-bico/t/9Ks5TdSSMc/,https://globoplay.globo.com/categorias/filmes-de-comedia/
64,Uma Boa E Velha Orgia,https://globoplay.globo.com/uma-boa-e-velha-orgia/t/rcDrnMBnfC/,https://globoplay.globo.com/categorias/filmes-de-comedia/
65,American Pie: O Reencontro,https://globoplay.globo.com/american-pie-o-reencontro/t/mBTTdjdGBW/,https://globoplay.globo.com/categorias/filmes-de-comedia/
66,Entrando Numa Fria,https://globoplay.globo.com/entrando-numa-fria/t/x6Yy591C6w/,https://globoplay.globo.com/categorias/filmes-de-comedia/
67,O Cheiro Do Ralo,https://globoplay.globo.com/o-cheiro-do-ralo/t/wwMQw5RPGj/,https://globoplay.globo.com/categorias/filmes-de-comedia/
68,Alvin E Os Esquilos: Na Estrada,https://globoplay.globo.com/alvin-e-os-esquilos-na-estrada/t/F9Zr1rTzfS/,https://globoplay.globo.com/categorias/filmes-de-comedia/
69,Menino Maluquinho - O Filme,https://globoplay.globo.com/menino-maluquinho-o-filme/t/bzb5xSB5NG/,https://globoplay.globo.com/categorias/filmes-de-comedia/
70,Sexo Sem Compromisso,https://globoplay.globo.com/sexo-sem-compromisso/t/FSNDc6Cphd/,https://globoplay.globo.com/categorias/filmes-de-comedia/
