,question,answer,document
92,A Maldição do Espelho,https://globoplay.globo.com/a-maldicao-do-espelho/t/R1GMn5KyCg/,https://globoplay.globo.com/categorias/filmes-de-terror/
93,A Noite Devorou O Mundo,https://globoplay.globo.com/a-noite-devorou-o-mundo/t/Lvs6Bvk6YM/,https://globoplay.globo.com/categorias/filmes-de-terror/
94,A Casa do Medo (2018),https://globoplay.globo.com/a-casa-do-medo-2018/t/ztGqLwfzMc/,https://globoplay.globo.com/categorias/filmes-de-terror/
95,O Bebê De Rosemary,https://globoplay.globo.com/o-bebe-de-rosemary/t/gvvc2DVggp/,https://globoplay.globo.com/categorias/filmes-de-terror/
96,O Retorno Do Duende (2018),https://globoplay.globo.com/o-retorno-do-duende-2018/t/2VKGTzCxfb/,https://globoplay.globo.com/categorias/filmes-de-terror/
97,A Maldição Da Casa Winchester,https://globoplay.globo.com/a-maldicao-da-casa-winchester/t/F9skwBLX77/,https://globoplay.globo.com/categorias/filmes-de-terror/
98,Leprechaun: A Origem,https://globoplay.globo.com/leprechaun-a-origem/t/rPGvjBFm9g/,https://globoplay.globo.com/categorias/filmes-de-terror/
99,Noite Do Terror 2,https://globoplay.globo.com/noite-do-terror-2/t/TyyNPCS29f/,https://globoplay.globo.com/categorias/filmes-de-terror/
100,A Maldição Da Bela Adormecida,https://globoplay.globo.com/a-maldicao-da-bela-adormecida/t/LNMRTqgscD/,https://globoplay.globo.com/categorias/filmes-de-terror/
101,Os Pássaros,https://globoplay.globo.com/os-passaros/t/dMWgSqYqLr/,https://globoplay.globo.com/categorias/filmes-de-terror/
102,Tara Maldita,https://globoplay.globo.com/tara-maldita/t/b5nNdpHJdx/,https://globoplay.globo.com/categorias/filmes-de-terror/
103,Jogos Mortais 2,https://globoplay.globo.com/jogos-mortais-2/t/TVZXYLKHRP/,https://globoplay.globo.com/categorias/filmes-de-terror/
104,Cloverfield: Monstro,https://globoplay.globo.com/cloverfield-monstro/t/kbdZ2jY1Ws/,https://globoplay.globo.com/categorias/filmes-de-terror/
105,Aplicativo Do Mal,https://globoplay.globo.com/aplicativo-do-mal/t/bcgQ5bHyHZ/,https://globoplay.globo.com/categorias/filmes-de-terror/
106,"Rua Cloverfield, 10",https://globoplay.globo.com/rua-cloverfield-10/t/WRdmPWq219/,https://globoplay.globo.com/categorias/filmes-de-terror/
107,Relíquia Macabra,https://globoplay.globo.com/reliquia-macabra/t/pLVGpy8FQT/,https://globoplay.globo.com/categorias/filmes-de-terror/
108,A Possessão de Mary,https://globoplay.globo.com/a-possessao-de-mary/t/wN7VdPMqJY/,https://globoplay.globo.com/categorias/filmes-de-terror/
109,Vem Com o Papai,https://globoplay.globo.com/vem-com-o-papai/t/j1sgnXq1wZ/,https://globoplay.globo.com/categorias/filmes-de-terror/
110,A Bruxa da Casa ao Lado,https://globoplay.globo.com/a-bruxa-da-casa-ao-lado/t/C9Qw65NyJG/,https://globoplay.globo.com/categorias/filmes-de-terror/
111,Censor,https://globoplay.globo.com/censor/t/1rVcwrnQK8/,https://globoplay.globo.com/categorias/filmes-de-terror/
112,As Faces do Demônio,https://globoplay.globo.com/as-faces-do-demonio/t/GxC6ssfDg9/,https://globoplay.globo.com/categorias/filmes-de-terror/
113,"Carrie, A Estranha (1976)",https://globoplay.globo.com/carrie-a-estranha-1976/t/c9PVVWV15D/,https://globoplay.globo.com/categorias/filmes-de-terror/
114,Frankenstein (2015),https://globoplay.globo.com/frankenstein-2015/t/nK1nGb2Kh6/,https://globoplay.globo.com/categorias/filmes-de-terror/
115,Sede De Sangue,https://globoplay.globo.com/sede-de-sangue/t/mfmJkXvmqb/,https://globoplay.globo.com/categorias/filmes-de-terror/
116,Horas de Silêncio,https://globoplay.globo.com/horas-de-silencio/t/YH8YJFZnKq/,https://globoplay.globo.com/categorias/filmes-de-terror/
117,Jogos Mortais Iv,https://globoplay.globo.com/jogos-mortais-iv/t/rRvf2ByXn9/,https://globoplay.globo.com/categorias/filmes-de-terror/
118,Jogos Mortais V,https://globoplay.globo.com/jogos-mortais-v/t/mtwsvG8DyN/,https://globoplay.globo.com/categorias/filmes-de-terror/
119,A Lenda Do Cavaleiro Sem Cabeça,https://globoplay.globo.com/a-lenda-do-cavaleiro-sem-cabeca/t/9fqFnCKm9d/,https://globoplay.globo.com/categorias/filmes-de-terror/
120,Contos Macabros 3,https://globoplay.globo.com/contos-macabros-3/t/vdQ6XZ7Pnb/,https://globoplay.globo.com/categorias/filmes-de-terror/
