,question,answer,document
38,Obsessão,https://globoplay.globo.com/obsessao/t/qFtN7hnvfr/,https://globoplay.globo.com/categorias/filmes-de-suspense/
39,Os Parentes,https://globoplay.globo.com/os-parentes/t/LhrPy7RJXF/,https://globoplay.globo.com/categorias/filmes-de-suspense/
40,Instinto (2019),https://globoplay.globo.com/instinto-2019/t/Km6YNyzFvq/,https://globoplay.globo.com/categorias/filmes-de-suspense/
41,De Longe Te Observo,https://globoplay.globo.com/de-longe-te-observo/t/H6YpRBwP88/,https://globoplay.globo.com/categorias/filmes-de-suspense/
42,Presságio,https://globoplay.globo.com/pressagio/t/CQw5CTKxhG/,https://globoplay.globo.com/categorias/filmes-de-suspense/
43,Vem Brincar,https://globoplay.globo.com/vem-brincar/t/XNRFnPmrnv/,https://globoplay.globo.com/categorias/filmes-de-suspense/
44,Purity Falls,https://globoplay.globo.com/purity-falls/t/zCcBvkgfTF/,https://globoplay.globo.com/categorias/filmes-de-suspense/
45,Deixe-o Partir,https://globoplay.globo.com/deixe-o-partir/t/zsgdSR7MfH/,https://globoplay.globo.com/categorias/filmes-de-suspense/
46,Garota Exemplar,https://globoplay.globo.com/garota-exemplar/t/JWxb5yqYQV/,https://globoplay.globo.com/categorias/filmes-de-suspense/
47,O Comitê da Vida,https://globoplay.globo.com/o-comite-da-vida/t/nZnGkwk2sy/,https://globoplay.globo.com/categorias/filmes-de-suspense/
48,O Código Da Vinci,https://globoplay.globo.com/o-codigo-da-vinci/t/PgJncXZ29P/,https://globoplay.globo.com/categorias/filmes-de-suspense/
49,A Supremacia Bourne,https://globoplay.globo.com/a-supremacia-bourne/t/cH6g1c1cMW/,https://globoplay.globo.com/categorias/filmes-de-suspense/
50,A Vingadora,https://globoplay.globo.com/a-vingadora/t/tCmnvKjwjx/,https://globoplay.globo.com/categorias/filmes-de-suspense/
51,O Animal Cordial,https://globoplay.globo.com/o-animal-cordial/t/p1DhHffnwD/,https://globoplay.globo.com/categorias/filmes-de-suspense/
52,12 Horas Para Sobreviver - O Ano Da Eleição,https://globoplay.globo.com/12-horas-para-sobreviver-o-ano-da-eleicao/t/dbjSWTbtmP/,https://globoplay.globo.com/categorias/filmes-de-suspense/
53,Brooklyn: Sem Pai Nem Mãe,https://globoplay.globo.com/brooklyn-sem-pai-nem-mae/t/YyXZF5FjSw/,https://globoplay.globo.com/categorias/filmes-de-suspense/
