,question,answer,document
39,O Último Rei,https://globoplay.globo.com/o-ultimo-rei/t/GDvtY9P1JX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
40,"Big Pai, Big Filho 2",https://globoplay.globo.com/big-pai-big-filho-2/t/D1wRWTcqLs/,https://globoplay.globo.com/categorias/filmes-de-aventura/
41,Ace Ventura 2 - Um Maluco Na Africa,https://globoplay.globo.com/ace-ventura-2-um-maluco-na-africa/t/cWnrsMB91F/,https://globoplay.globo.com/categorias/filmes-de-aventura/
42,Um Conto de Sereia,https://globoplay.globo.com/um-conto-de-sereia/t/wBB6rHv6pk/,https://globoplay.globo.com/categorias/filmes-de-aventura/
43,Bill & Ted: Encare a Música,https://globoplay.globo.com/bill-ted-encare-a-musica/t/vCDW1JmcFd/,https://globoplay.globo.com/categorias/filmes-de-aventura/
44,Pokémon: Detetive Pikachu,https://globoplay.globo.com/pokemon-detetive-pikachu/t/7QJNBZ9cwT/,https://globoplay.globo.com/categorias/filmes-de-aventura/
45,Star Trek: Sem Fronteiras,https://globoplay.globo.com/star-trek-sem-fronteiras/t/bTDfNJhypY/,https://globoplay.globo.com/categorias/filmes-de-aventura/
46,Duma,https://globoplay.globo.com/duma/t/YyVKh6m5qN/,https://globoplay.globo.com/categorias/filmes-de-aventura/
47,Minions,https://globoplay.globo.com/minions/t/z2BwddzpJK/,https://globoplay.globo.com/categorias/filmes-de-aventura/
48,Hércules,https://globoplay.globo.com/hercules/t/Lx9fyCLnxM/,https://globoplay.globo.com/categorias/filmes-de-aventura/
49,Velozes E Furiosos (2001),https://globoplay.globo.com/velozes-e-furiosos-2001/t/9RyggcSgN8/,https://globoplay.globo.com/categorias/filmes-de-aventura/
50,Tubarão 2,https://globoplay.globo.com/tubarao-2/t/ncWH6sChyt/,https://globoplay.globo.com/categorias/filmes-de-aventura/
51,O Inimigo ao Meu Redor,https://globoplay.globo.com/o-inimigo-ao-meu-redor/t/xvL9Khnm5w/,https://globoplay.globo.com/categorias/filmes-de-aventura/
52,Refém Rebelde,https://globoplay.globo.com/refem-rebelde/t/cNd9DSJGvw/,https://globoplay.globo.com/categorias/filmes-de-aventura/
53,Encantado,https://globoplay.globo.com/encantado/t/ZFTGmNBWPP/,https://globoplay.globo.com/categorias/filmes-de-aventura/
54,+ Velozes + Furiosos,https://globoplay.globo.com/velozes-furiosos/t/yWKGPzXpjt/,https://globoplay.globo.com/categorias/filmes-de-aventura/
55,Rambo: Até o Fim,https://globoplay.globo.com/rambo-ate-o-fim/t/v8q16Wcxwv/,https://globoplay.globo.com/categorias/filmes-de-aventura/
56,Mega Shark Vs. Kolossus,https://globoplay.globo.com/mega-shark-vs-kolossus/t/5L1MKKCyZQ/,https://globoplay.globo.com/categorias/filmes-de-aventura/
57,O Hobbit: A Desolação De Smaug,https://globoplay.globo.com/o-hobbit-a-desolacao-de-smaug/t/ZL1cHDPFkc/,https://globoplay.globo.com/categorias/filmes-de-aventura/
58,A Sombra E A Escuridão,https://globoplay.globo.com/a-sombra-e-a-escuridao/t/r1bF2hjfsG/,https://globoplay.globo.com/categorias/filmes-de-aventura/
59,Xuxa Abracadabra,https://globoplay.globo.com/xuxa-abracadabra/t/mJJmYdqYfM/,https://globoplay.globo.com/categorias/filmes-de-aventura/
60,Velozes E Furiosos 6,https://globoplay.globo.com/velozes-e-furiosos-6/t/k7F959hgDd/,https://globoplay.globo.com/categorias/filmes-de-aventura/
61,O Homem Da Máscara De Ferro,https://globoplay.globo.com/o-homem-da-mascara-de-ferro/t/Pdn5hDGGqR/,https://globoplay.globo.com/categorias/filmes-de-aventura/
62,A Abelhinha Maya e o Ovo Dourado,https://globoplay.globo.com/a-abelhinha-maya-e-o-ovo-dourado/t/CZkXrRWKLW/,https://globoplay.globo.com/categorias/filmes-de-aventura/
63,Bumblebee,https://globoplay.globo.com/bumblebee/t/jGKxmgctfC/,https://globoplay.globo.com/categorias/filmes-de-aventura/
64,Lupin III: O Primeiro,https://globoplay.globo.com/lupin-iii-o-primeiro/t/dZMmLKgtPy/,https://globoplay.globo.com/categorias/filmes-de-aventura/
65,Power Rangers,https://globoplay.globo.com/power-rangers/t/tTNK1WyYdt/,https://globoplay.globo.com/categorias/filmes-de-aventura/
66,O Dragão Dourado,https://globoplay.globo.com/o-dragao-dourado/t/YhxMSyxGmF/,https://globoplay.globo.com/categorias/filmes-de-aventura/
67,Uma Aventura Canadense,https://globoplay.globo.com/uma-aventura-canadense/t/2FkR7gvRtR/,https://globoplay.globo.com/categorias/filmes-de-aventura/
68,Colegas,https://globoplay.globo.com/colegas/t/hGc28DcVKR/,https://globoplay.globo.com/categorias/filmes-de-aventura/
69,Velozes E Furiosos 4,https://globoplay.globo.com/velozes-e-furiosos-4/t/QQxMMVxm7t/,https://globoplay.globo.com/categorias/filmes-de-aventura/
70,100% Lobo,https://globoplay.globo.com/100-lobo/t/TCHgQdV5KT/,https://globoplay.globo.com/categorias/filmes-de-aventura/
71,Mistérios Ocultos,https://globoplay.globo.com/misterios-ocultos/t/J1ZQFVYXPr/,https://globoplay.globo.com/categorias/filmes-de-aventura/
72,Invasão Zumbi 2: Península,https://globoplay.globo.com/invasao-zumbi-2-peninsula/t/rMbLBgHSkf/,https://globoplay.globo.com/categorias/filmes-de-aventura/
73,Robin Hood: A Origem,https://globoplay.globo.com/robin-hood-a-origem/t/2FNhXx9XJf/,https://globoplay.globo.com/categorias/filmes-de-aventura/
74,My Little Pony: O Filme,https://globoplay.globo.com/my-little-pony-o-filme/t/58FWTXjgWn/,https://globoplay.globo.com/categorias/filmes-de-aventura/
75,O Hobbit - Uma Jornada Inesperada,https://globoplay.globo.com/o-hobbit-uma-jornada-inesperada/t/jjBmNq28dk/,https://globoplay.globo.com/categorias/filmes-de-aventura/
76,Papillon,https://globoplay.globo.com/papillon/t/2zHfvgJt6g/,https://globoplay.globo.com/categorias/filmes-de-aventura/
77,O Imperador de Paris,https://globoplay.globo.com/o-imperador-de-paris/t/k61RR8QfCk/,https://globoplay.globo.com/categorias/filmes-de-aventura/
78,"Big Pai, Big Filho",https://globoplay.globo.com/big-pai-big-filho/t/D7YVLL7skz/,https://globoplay.globo.com/categorias/filmes-de-aventura/
79,Deuses Do Egito,https://globoplay.globo.com/deuses-do-egito/t/ShmKvBnW1n/,https://globoplay.globo.com/categorias/filmes-de-aventura/
80,Duna,https://globoplay.globo.com/duna/t/TXLHvZb16f/,https://globoplay.globo.com/categorias/filmes-de-aventura/
81,Los Bando,https://globoplay.globo.com/los-bando/t/yGSKf1B6zp/,https://globoplay.globo.com/categorias/filmes-de-aventura/
82,Alerta Vermelho,https://globoplay.globo.com/alerta-vermelho/t/RmKFfwrKyt/,https://globoplay.globo.com/categorias/filmes-de-aventura/
83,Esperando os Bárbaros,https://globoplay.globo.com/esperando-os-barbaros/t/6v696TPSxL/,https://globoplay.globo.com/categorias/filmes-de-aventura/
84,Scooby-Doo e a Maldição do 13° Fantasma,https://globoplay.globo.com/scooby-doo-e-a-maldicao-do-13-fantasma/t/Y7cW6NDmDp/,https://globoplay.globo.com/categorias/filmes-de-aventura/
85,Madagascar 3: Os Procurados,https://globoplay.globo.com/madagascar-3-os-procurados/t/11ypgQDPfY/,https://globoplay.globo.com/categorias/filmes-de-aventura/
86,O Hobbit: A Batalha Dos Cinco Exércitos,https://globoplay.globo.com/o-hobbit-a-batalha-dos-cinco-exercitos/t/nQgMFKv6YK/,https://globoplay.globo.com/categorias/filmes-de-aventura/
87,Osmar - A Primeira Fatia Do Pão De Forma,https://globoplay.globo.com/osmar-a-primeira-fatia-do-pao-de-forma/t/9LHhcr5DGP/,https://globoplay.globo.com/categorias/filmes-de-aventura/
88,O Poder e o Impossível,https://globoplay.globo.com/o-poder-e-o-impossivel/t/QY7PCnTSDC/,https://globoplay.globo.com/categorias/filmes-de-aventura/
89,Shock Wave 2,https://globoplay.globo.com/shock-wave-2/t/CjsdCL8bjB/,https://globoplay.globo.com/categorias/filmes-de-aventura/
90,Mortal,https://globoplay.globo.com/mortal/t/ycsLKL8pDm/,https://globoplay.globo.com/categorias/filmes-de-aventura/
91,Gnomeu E Julieta: O Mistério Do Jardim,https://globoplay.globo.com/gnomeu-e-julieta-o-misterio-do-jardim/t/XG7kRJL9vb/,https://globoplay.globo.com/categorias/filmes-de-aventura/
92,G.I. Joe: Retaliação,https://globoplay.globo.com/gi-joe-retaliacao/t/DfxzWw9SFn/,https://globoplay.globo.com/categorias/filmes-de-aventura/
93,Coma - A Dimensão do Futuro,https://globoplay.globo.com/coma-a-dimensao-do-futuro/t/6mYNPjFZCz/,https://globoplay.globo.com/categorias/filmes-de-aventura/
94,De Volta Para O Futuro Parte III,https://globoplay.globo.com/de-volta-para-o-futuro-parte-iii/t/kkCGxCXyYf/,https://globoplay.globo.com/categorias/filmes-de-aventura/
95,Pânico No Lago,https://globoplay.globo.com/panico-no-lago/t/NbMMkqS2t7/,https://globoplay.globo.com/categorias/filmes-de-aventura/
96,Shrek Para Sempre,https://globoplay.globo.com/shrek-para-sempre/t/8vtN5SGrjX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
97,A Última Legião,https://globoplay.globo.com/a-ultima-legiao/t/JnHZ5mm5vX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
98,As Minas Do Rei Salomão,https://globoplay.globo.com/as-minas-do-rei-salomao/t/dtfZf71PLX/,https://globoplay.globo.com/categorias/filmes-de-aventura/
99,Pânico No Lago: O Capítulo Final,https://globoplay.globo.com/panico-no-lago-o-capitulo-final/t/JDHJrGSNNH/,https://globoplay.globo.com/categorias/filmes-de-aventura/
100,Comando Delta 2 - Conexão Colômbia,https://globoplay.globo.com/comando-delta-2-conexao-colombia/t/SMG8tCqKXM/,https://globoplay.globo.com/categorias/filmes-de-aventura/
101,Hunter X Hunter: Fantasma Vermelho,https://globoplay.globo.com/hunter-x-hunter-fantasma-vermelho/t/rv2c56t5TD/,https://globoplay.globo.com/categorias/filmes-de-aventura/
102,Shrek Terceiro,https://globoplay.globo.com/shrek-terceiro/t/WvkQssxMSz/,https://globoplay.globo.com/categorias/filmes-de-aventura/
103,Jornada Nas Estrelas: Primeiro Contato,https://globoplay.globo.com/jornada-nas-estrelas-primeiro-contato/t/byBJYxqWsQ/,https://globoplay.globo.com/categorias/filmes-de-aventura/
104,Madagascar 2,https://globoplay.globo.com/madagascar-2/t/RfBFhFpYwQ/,https://globoplay.globo.com/categorias/filmes-de-aventura/
105,Xuxa E Os Duendes 2: No Caminho Das Fadas,https://globoplay.globo.com/xuxa-e-os-duendes-2-no-caminho-das-fadas/t/jWBtXdtT6W/,https://globoplay.globo.com/categorias/filmes-de-aventura/
