,question,answer,document
41,Brilho Eterno De Uma Mente Sem Lembranças,https://globoplay.globo.com/brilho-eterno-de-uma-mente-sem-lembrancas/t/6GfrqWVFPy/,https://globoplay.globo.com/categorias/filmes-romanticos/
42,O Que Esperar Quando Você Está Esperando,https://globoplay.globo.com/o-que-esperar-quando-voce-esta-esperando/t/ggHxLt8yPQ/,https://globoplay.globo.com/categorias/filmes-romanticos/
43,Show de Vizinha,https://globoplay.globo.com/show-de-vizinha/t/Gr2f5MkBwW/,https://globoplay.globo.com/categorias/filmes-romanticos/
44,Não Se Apega Não - O Filme,https://globoplay.globo.com/nao-se-apega-nao-o-filme/t/YThFG1FMKQ/,https://globoplay.globo.com/categorias/filmes-romanticos/
45,Natal em Dose Dupla,https://globoplay.globo.com/natal-em-dose-dupla/t/XV8pybjLkB/,https://globoplay.globo.com/categorias/filmes-romanticos/
46,"Rio, Eu Te Amo",https://globoplay.globo.com/rio-eu-te-amo/t/CPjMc1trNG/,https://globoplay.globo.com/categorias/filmes-romanticos/
47,Bem Amadas,https://globoplay.globo.com/bem-amadas/t/H7ppnQmVZx/,https://globoplay.globo.com/categorias/filmes-romanticos/
48,Beleza Oculta,https://globoplay.globo.com/beleza-oculta/t/fDhc9BmKVd/,https://globoplay.globo.com/categorias/filmes-romanticos/
49,Bem Amadas,https://globoplay.globo.com/bem-amadas/t/H7ppnQmVZx/,https://globoplay.globo.com/categorias/filmes-romanticos/
50,Encalhados,https://globoplay.globo.com/encalhados/t/Sz8zD1BrJb/,https://globoplay.globo.com/categorias/filmes-romanticos/
51,Anos Dourados - O Filme,https://globoplay.globo.com/anos-dourados-o-filme/t/B1Hrk8fmsL/,https://globoplay.globo.com/categorias/filmes-romanticos/
52,Curiosa,https://globoplay.globo.com/curiosa/t/V7ZvmhQWKH/,https://globoplay.globo.com/categorias/filmes-romanticos/
53,Amor,https://globoplay.globo.com/amor/t/rXSjvCJMQs/,https://globoplay.globo.com/categorias/filmes-romanticos/
54,Benjamim,https://globoplay.globo.com/benjamim/t/qzdSFq1CfX/,https://globoplay.globo.com/categorias/filmes-romanticos/
55,Um Casamento de Natal,https://globoplay.globo.com/um-casamento-de-natal/t/SmXVY6Pgqt/,https://globoplay.globo.com/categorias/filmes-romanticos/
56,O Amante da Rainha,https://globoplay.globo.com/o-amante-da-rainha/t/XNjNvbQyRW/,https://globoplay.globo.com/categorias/filmes-romanticos/
57,Loucas pra Casar,https://globoplay.globo.com/loucas-pra-casar/t/XhxGKtQ7Q5/,https://globoplay.globo.com/categorias/filmes-romanticos/
58,Um Show De Verão,https://globoplay.globo.com/um-show-de-verao/t/PQCdjcX2fx/,https://globoplay.globo.com/categorias/filmes-romanticos/
59,Dona Flor E Seus Dois Maridos,https://globoplay.globo.com/dona-flor-e-seus-dois-maridos/t/1GWRHgCMP9/,https://globoplay.globo.com/categorias/filmes-romanticos/
60,Alabama Monroe,https://globoplay.globo.com/alabama-monroe/t/XXy6mXcZCR/,https://globoplay.globo.com/categorias/filmes-romanticos/
61,"Forrest Gump, O Contador De Histórias",https://globoplay.globo.com/forrest-gump-o-contador-de-historias/t/xqwwLJmnJk/,https://globoplay.globo.com/categorias/filmes-romanticos/
62,Órfãos Do Eldorado,https://globoplay.globo.com/orfaos-do-eldorado/t/srBtxWdGgX/,https://globoplay.globo.com/categorias/filmes-romanticos/
